Manudur;Dagur;Dogun   ;Birting  ;Solris   ;Hadegi  ;Solarlag  ;Myrkur  ;Dagsetur    ;Haed;;Solris;Solarlag;;solarstundir;;Man;dagur
JAN;1.;07 56;10 03;11 19;13 31;15 44;16 59;19 07;3,1;;11:19;15:44;;0,184027778;;JAN;JAN/1./2023
-;8.;07 52;09 57;11 09;13 34;16 00;17 12;19 17;3,8;;11:09;16:00;;0,202083333;;JAN;JAN/8./2023
-;15.;07 46;09 48;10 55;13 37;16 20;17 27;19 29;4,9;;10:55;16:20;;0,225694444;;JAN;JAN/15./2023
-;22.;07 36;09 35;10 37;13 39;16 42;17 44;19 43;6,3;;10:37;16:42;;0,253472222;;JAN;JAN/22./2023
-;29.;07 23;09 19;10 17;13 41;17 05;18 03;19 59;8,1;;10:17;17:05;;0,283333333;;JAN;JAN/29./2023
FEB;5.;07 08;09 01;09 56;13 42;17 28;18 23;20 17;10,1;;09:56;17:28;;0,313888889;;FEB;FEB/5./2023
-;12.;06 50;08 42;09 33;13 42;17 51;18 43;20 35;12,3;;09:33;17:51;;0,345833333;;FEB;FEB/12./2023
-;19.;06 30;08 20;09 10;13 41;18 14;19 04;20 55;14,7;;09:10;18:14;;0,377777778;;FEB;FEB/19./2023
-;26.;06 07;07 58;08 46;13 41;18 36;19 25;21 16;17,2;;08:46;18:36;;0,409722222;;FEB;FEB/26./2023
MAR;5.;05 42;07 35;08 22;13 39;18 58;19 45;21 39;19,9;;08:22;18:58;;0,441666667;;MAR;MAR/5./2023
-;12.;05 14;07 11;07 58;13 37;19 19;20 06;22 04;22,6;;07:58;19:19;;0,472916667;;MAR;MAR/12./2023
-;19.;04 43;06 46;07 33;13 36;19 40;20 27;22 31;25,4;;07:33;19:40;;0,504861111;;MAR;MAR/19./2023
-;26.;04 07;06 20;07 08;13 33;20 01;20 49;23 04;28,1;;07:08;20:01;;0,536805556;;MAR;MAR/26./2023
APR;2.;03 23;05 53;06 43;13 31;20 22;21 12;23 46;30,8;;06:43;20:22;;0,56875;;APR;APR/2./2023
-;9.;02 11;05 26;06 18;13 29;20 43;21 35;25 12;33,5;;06:18;20:43;;0,600694444;;APR;APR/9./2023
-;16.;;04 58;05 53;13 28;21 04;22 00;;36;;05:53;21:04;;0,632638889;;APR;APR/16./2023
-;23.;;04 28;05 29;13 26;21 26;22 27;;38,4;;05:29;21:26;;0,664583333;;APR;APR/23./2023
-;30.;;03 57;05 04;13 25;21 48;22 57;;40,7;;05:04;21:48;;0,697222222;;APR;APR/30./2023
